# ALLBOTS PRE-STATE — T-50 archive sweep — 2026-09-07 18:42:46 UTC (14:42 ET)
# SOURCE: a5.bots.allbots hydrated client model, read in-page on https://app.optionalpha.com/bots
#   in Claude-in-Chrome "Browser 1". Object fields group/account flattened to their .name.
# PROVENANCE ANCHOR: the oa_grab_page.js innerText capture taken in the SAME page life
#   (name "Bots", stamp 2026-09-07-18-42-46, 44 sticon rows, 10290 chars)
#   sha256 = 2b9497a1ef0866d8bcf371e359e61cf3c7735c7fbe65f8a63b23af2c10fc08ec
#   computed IN-PAGE by crypto.subtle over the capture text. The innerText blob itself is NOT
#   stored byte-for-byte: the harness chunks JS return values and base64 transport is filtered,
#   so a byte-exact reconstruction could not be verified. This structured TSV is the PRE surface
#   the Evening-2 diff runs against (see README.md, DEVIATION 3).
# FOOTER, verbatim: '44 active bots • 6 left in your plan • Upgrade'
# ACCOUNT HEADER: TOTAL P/L -$83,731  RETURN % -3.8%  CLOSED P/L -$83,750  CLOSED % -3.8%
#                 CHANGE -$294  RISK $9,682  ALLOCATION $2,190,000  BETA WEIGHT 49.39
# ACCOUNT: every one of the 44 rows reads account = "Paper Trading". Zero Live rows. No TR ****4219.
#
name	id	group	seed	status	disableExits	posLimit	pcount	newpos	account	tags	closedCount
QQQ-IC-0DTE-Fortress-NoFilter	BOTfw5TkkCRF4517755108623629541	Archive	100000	off	1	2	0	0	Paper Trading	experiment	8
QQQ-IC-0DTE-Fortress-NoPT50	BOTfw5TkkCRF3017862038322323202	Monitor	100000	on	0	2	0	0	Paper Trading	experiment,pr 04	2
QQQ-IC-0DTE-Fortress-NoPT50-ARCHIVED-2026-08-08	BOTfw5TkkCRF2617743681996538301	Archive	100000	off	1	2	0	0	Paper Trading	experiment	35
QQQ-IC-0DTE-Fortress-S2	BOTfw5TkkCRF3217755946065115241	Archive	100000	off	1	2	0	0	Paper Trading	experiment	16
QQQ-IC-0DTE-HedgeA-S1	BOTfw5TkkCRF2717738719192568831	Archive	100000	off	1	2	0	0	Paper Trading	experiment	86
QQQ-IC-0DTE-HedgeB-S2	BOTfw5TkkCRF2717738721388027602	Archive	100000	off	1	2	0	0	Paper Trading	experiment	86
QQQ-IC-0DTE-HedgeC-S3	BOTfw5TkkCRF2717738721535026943	Archive	100000	off	1	2	0	0	Paper Trading	experiment	86
QQQ-IC-0DTE-HedgeD-Conditional	BOTfw5TkkCRF2717738721652044244	Archive	100000	off	1	2	0	0	Paper Trading	experiment	86
QQQ-IC-0DTE-HedgeTest	BOTfw5TkkCRF817734404268067862	Archive	100000	off	1	2	0	0	Paper Trading	experiment	93
QQQ-IC-0DTE-InverseFilter-HoldToExp	BOTfw5TkkCRF4517755118383321712	Archive	100000	off	1	2	0	0	Paper Trading	experiment	3
QQQ-IC-0DTE-Range075-PT50	BOTfw5TkkCRF2717738722042782917	Archive	100000	off	1	2	0	0	Paper Trading	experiment	5
QQQ-IC-0DTE-Range075-PT50-Wide2-1230PM	BOTfw5TkkCRF2617743684426809593	Archive	100000	off	1	2	0	0	Paper Trading	experiment	40
QQQ-IC-0DTE-Range075-PT50-Wide2-155PM	BOTfw5TkkCRF2717738721925710956	Archive	100000	off	1	2	0	0	Paper Trading	experiment	10
QQQ-IC-0DTE-Raw-HoldToExp	BOTfw5TkkCRF2617743683072748392	Archive	100000	off	1	2	0	0	Paper Trading	control	80
QQQ-IC-0DTE-VIX25-Range075-PT50	BOTfw5TkkCRF2717738721783221645	Archive	100000	off	1	2	0	0	Paper Trading	experiment	1
Tasty Condor	BOTfw5TkkCRF1017766126336204213	Monitor	10000	off	1	4	0	0	Paper Trading	mirror watch,pr 13	5
Trendy-Paper-v1	BOTfw5TkkCRF1017766118431160782	Monitor	10000	on	0	1	1	0	Paper Trading	mirror watch,pr 11	19
Weekly-IB-SPY-Paper-v1	BOTfw5TkkCRF3317782770973508333	Archive	10000	off	1	6	0	0	Paper Trading	mirror watch	18
