bot,pillar,role,status,underlying,structure,dte,entry_time,filter,strike_selector,width,profit_target,stop_or_hedge,exit_pricing,reentry,notes
Friday 14 DTE Broken Wing IB (B-70),OA-Mirror,mirror-watch,ON,SPX,broken_wing_iron_butterfly_60/40,14 (exact-match 7/14/21; default 14),Fri 10:30-11:05 (tag-gated 9:31 event),exact-DTE match; skip week if DTE unavailable,"shorts 70pts below underlying; long put 60 below, long call 40 above",(fixed $ offset),$105/ct PT; dynamic PT-reduction near expiry,"stop $1,105/ct switch DEFAULT OFF (structure is the hedge)",,1 at a time,"CONFIRMED SPX (Andy 2026-07-03). '60/40 IB, 70 pts below the money', scanner BWB Opener 10:30-11:05 Fri, running v4 (latest v5 6/9). Source @otto_mation (Amy Meissner A14)."
Trendy-Paper-v1,OA-Mirror,mirror-watch,ON,SPY,short_put_spread -> asym_IC_on_breach,10,scanner (gated),VIX<40 AND price>200-SMA; short-put OI>500; not already hedging; 0 SPS open,0.15 delta short,$10,90% absolute PT + SmartStops,breach hedge: opens SCS -> asymmetric IC (hedge mgr closes call spread <1 DTE),,1 SPS at a time,Source @kirk. Raw-breach-hedge family; V-reversal failure (~200% loss). Paper $10-15k.
60min-ORB-10W-Paper-v1,OA-Mirror,mirror-watch,ON,SPX,credit_spread (0DTE fade),0,before 2pm; Mon/Tue/Wed/Fri; skip FOMC,short strike at 60-min ORB level + $0.01 buffer; min credit $0.70,ORB-level anchored,$10,$50 PT (else expire),$140 built-in stop,,1 side/day,Source @tradesinLulu. 78% instance-profitability (vs killed ORB-60m 53%). Paper $10k.
Tasty Condor,OA-Mirror,mirror-watch,ON,SPY,iron_condor,45,10:00am+ (throttled),VIX < MaxVIX; frequency throttle; 0 same-cycle open,+/-0.20 delta shorts,configurable ($5 default),50% credit OR 21-DTE time exit (whichever first),none (time-exit IS the risk mgmt),,1 per cycle,Source @jackslocum (TastyTrade canonical). Highest instance-profitability captured (82.5%). Paper $10k.
Weekly-IB-SPY-Paper-v1,OA-Mirror,mirror-watch,OFF,SPY,iron_butterfly (ATM shorts),5-7 weekly,30% RoR scanner threshold,30% rate-of-return scanner,ATM shorts (symmetric),(configurable),50% PT (25% if <4 DTE); forced close 2 DTE,none (structural wing cap),,<verify>,"KILL 2026-06-10 (funding error, Exp(R) -0.161). Turn OFF confirmed."
1-45pm-Sandwich-Paper-v1,OA-Mirror,mirror-watch,OFF,<verify>,short_vol (time-of-day),<verify>,13:45,<verify: no author backtest>,<not shown>,<not shown>,<not shown>,<not shown>,,<verify>,"Kill candidate (-0.412 R, 0-for-6). No author backtest; internals not fully captured."
Opening Range Breakout 60m,OA-Mirror,mirror-watch,OFF,SPX,dual_0DTE_credit_spread (fade),0,after 60-min OR,clean one-sided breakout only; skip half-days/FOMC; range >= 0.2% of open,short strike $0.01 past OR high/low,$15,none (zero exit logic; hold to expiry),none (Matrix prescribed 90% stop; killed instead),,1 side/day,KILLED ~May 2026. Superseded by 60min-ORB-10W. Zero exit logic was the drag.
QQQ-IC-0DTE-Fortress-NoFilter,IC,experiment,OFF,QQQ,iron_condor,0,<verify>,none,<verify: 0.75% OTM>,$2 (inferred: QQQ/SPY IC = $2),<verify>,S2 (UNVERIFIED - check Exit Options),,<verify>,strike_fix=Y. Archive candidate.
QQQ-IC-0DTE-Fortress-S2,IC,experiment,OFF,QQQ,iron_condor,0,<verify: ~13:31>,<verify: Range075>,<verify: 0.75% OTM>,$2 (inferred: QQQ/SPY IC = $2),<verify>,S2 (UNVERIFIED - check Exit Options),,<verify>,strike_fix=Y. Archive candidate.
QQQ-IC-0DTE-HedgeA-S1,IC,experiment,OFF,QQQ,iron_condor,0,<verify>,<verify: Range075>,0.75% OTM,$2 (inferred: QQQ/SPY IC = $2),<verify>,S1,,<verify>,strike_fix=Y. Functional dup of HedgeD/HedgeTest. Archive candidate.
QQQ-IC-0DTE-HedgeB-S2,IC,experiment,OFF,QQQ,iron_condor,0,<verify>,<verify: Range075>,0.75% OTM,$2 (inferred: QQQ/SPY IC = $2),<verify>,S2,,<verify>,strike_fix=Y. Archive candidate.
QQQ-IC-0DTE-HedgeC-S3,IC,experiment,OFF,QQQ,iron_condor,0,<verify>,<verify: Range075>,0.75% OTM,$2 (inferred: QQQ/SPY IC = $2),<verify>,S3,,<verify>,strike_fix=Y. Archive candidate.
QQQ-IC-0DTE-HedgeD-Conditional,IC,experiment,OFF,QQQ,iron_condor,0,<verify>,<verify: Range075>,0.75% OTM,$2 (inferred: QQQ/SPY IC = $2),<verify>,Conditional,,<verify>,strike_fix=Y. Dup of HedgeA/Test. Archive candidate.
QQQ-IC-0DTE-HedgeTest,IC,experiment,OFF,QQQ,iron_condor,0,<verify>,<verify: Range075>,0.75% OTM,$2 (inferred: QQQ/SPY IC = $2),<verify>,Conditional,,<verify>,strike_fix=Y. Suspected dup of A/D. Archive candidate.
QQQ-IC-0DTE-Baseline,IC,control,OFF,QQQ,iron_condor,0,<verify>,none (unfiltered control),0.75% OTM,$2 (inferred: QQQ/SPY IC = $2),none,none (unstopped),,<verify>,strike_fix=Y. Unfiltered control. Archive candidate.
QQQ-IC-0DTE-Raw-HoldToExp,IC,control,OFF,QQQ,iron_condor,0,<verify>,<verify>,0.75% OTM,$2 (inferred: QQQ/SPY IC = $2),none,"none (hold to expiry, no exit logic)",,<verify>,strike_fix=Y. No-exit control.
QQQ-IC-0DTE-InverseFilter-HoldToExp,IC,experiment,OFF,QQQ,iron_condor,0,<verify>,inverse Range075,0.75% OTM,$2 (inferred: QQQ/SPY IC = $2),none,none (hold to expiry),,<verify>,strike_fix=Y.
QQQ-IC-0DTE-VIX25-Range075-PT50,IC,experiment,OFF,QQQ,iron_condor,0,<verify>,VIX25 + Range075,0.75% OTM,$2 (inferred: QQQ/SPY IC = $2),PT50,<verify>,,<verify>,strike_fix=Y.
QQQ-IC-0DTE-Range075-PT50,IC,experiment,OFF,QQQ,iron_condor,0,<verify>,Range075,0.75% OTM,$2 (inferred: QQQ/SPY IC = $2),PT50,<verify>,,<verify>,strike_fix=Y.
QQQ-IC-0DTE-Range075-PT50-Wide2-155PM,IC,experiment,OFF,QQQ,iron_condor,0,13:55,Range075,0.75% OTM,$2,PT50,<verify>,,<verify>,strike_fix=Y. Wide2 = $2 wings.
QQQ-IC-0DTE-Range075-PT50-Wide2-1230PM,IC,experiment,OFF,QQQ,iron_condor,0,12:30,Range075,0.75% OTM,$2,PT50,<verify>,,<verify>,strike_fix=Y. Wide2 = $2 wings.
