bot	doc	disposition	anchor_line	trimmed	quote	contradicts_doc	concrete_case	winner	notes
QQQ-IC-0DTE-Fortress-NoPT50	docs/day0-session-pack-2026-08-07.md	CLONE-THEN-ARCHIVE-ORIGINAL	763	0	PR-02 and PR-04 both BUILT + VERIFIED				Day-0 pack records S1 close: PR-04 clone built + verified; original renamed -ARCHIVED-2026-08-08 and will not trade
QQQ-IC-0DTE-Fortress-NoPT50	docs/audit-report-2026-08-08.md	NONE	42-43	0	PR-04 clone: BUILT + VERIFIED; the 15:52 backstop proved buildable and was built to the pilot's exact stored shape; original (2 automations) hash-identical throughout.				S1 close audit records the clone build; it does not assign an operating disposition (automations off at audit time)
QQQ-IC-0DTE-Fortress-NoPT50	docs/decision-card-2026-08-08.md	NONE	1132	0	PR-04 clone | 🔄 in progress (S1 continuation session)				Decision-card tracks S1 progress, not a final disposition; later summary says clones built + verified
QQQ-IC-0DTE-Fortress-NoPT50	docs/decision-card-2026-08-06.md	NONE	448-449	0	PR-04: 15:50 time exit + 15:52 backstop, NO PT50 (removed from the action, not toggled off).				Decision-card states the clone build spec, not a disposition
QQQ-IC-0DTE-Fortress-NoPT50	docs/decision-memo-2026-08-04.md	NONE	295	0	QQQ-IC-0DTE-Fortress-NoPT50 | Apr 16, 2026 | 91				Decision memo error-day table; no operating disposition
QQQ-IC-0DTE-Fortress-NoPT50	docs/sprint-2026-08-04.md	NONE	223-224	0	Do not touch QQQ-IC-0DTE-Fortress-NoPT50, the champion, or its -130PM clone. Do not test-fire.				Sprint instruction not to touch the bot; no disposition stated
QQQ-IC-0DTE-Fortress-NoPT50	docs/devin-queue.md	NONE	148	0	PR-02 / PR-04 | Sign or switch off before live capital. Recorded as a knowing exception; costs nothing on paper.				Devin queue item; references R-2026-08-11 knowing exception but does not itself state a disposition
QQQ-IC-0DTE-Fortress-NoPT50	docs/rebuild-contingency-2026-08-07.md	NONE	53-54	0	PR-04 — QQQ-IC-0DTE-Fortress-NoPT50 (same situation: never-started, original lost, no template).				Contingency for A0 branch 2 no-restore; the actual path was branch 1 (original restored and renamed)
QQQ-IC-0DTE-Fortress-NoPT50	docs/exploratory-bots-design-2026-08-07.md	NONE	130	0	two clones (PR-02, PR-04) are still outstanding.				Research question mentions PR-04 as an outstanding clone; no disposition
QQQ-IC-0DTE-Fortress-NoPT50	docs/split2-design-2026-08-08.md	NONE	289	0	QQQ-IC-0DTE-Fortress-NoPT50 (PR-04) — declared time exit, declared backstop, and one honest blank				Split2 design table; no operating disposition
QQQ-IC-0DTE-Fortress-NoPT50	docs/oa-platform-reference.md	NONE	489	0	QQQ-IC-0DTE-Fortress-NoPT50 | Apr 16, 2026 | 91 | 1:31PM – 3:55PM				Platform-reference error-day table; no disposition
QQQ-IC-0DTE-Fortress-NoPT50	docs/hedge-research.md	NONE	218	0	QQQ-IC-0DTE-Fortress ≈ QQQ-IC-0DTE-Fortress-NoPT50 | 14				Similarity table (14 identical positions); no disposition

#RECONCILE docs_in_scope=22 rows_written=22 candidates=8
#TOOLS anchor_py=/private/tmp/claude-501/-Users-andrewchace-bot-fleet-v2/571a2ee7-ae0e-4439-b95c-199bdeb2de0c/scratchpad/rp3/pilot/anchor.py sha256=973b68058e28b18b42ecbabb0641a923b4f2518358683c3df0f12c7341daa6e5
