window_start,window_end,date,bot,trade_id,rule,severity,axis,tier,observed,threshold,detail,verify_by
2026-08-10,2026-09-16,2026-08-28,GF-QQQ-IC-SL100,T00715,CLOSED_AT_MAE,INFO,MECHANICS,S,mae_date == close_date (2026-08-28 13:50),close should not coincide with the worst mark,"the exit fired at the worst point of the position's life — expected for a stop, a finding for anything else",the Trades list: which mechanic generated the closing order
2026-08-10,2026-09-16,2026-08-31,GF-QQQ-IC-SL100,T00700,CLOSED_AT_MAE,INFO,MECHANICS,S,mae_date == close_date (2026-08-31 13:51),close should not coincide with the worst mark,"the exit fired at the worst point of the position's life — expected for a stop, a finding for anything else",the Trades list: which mechanic generated the closing order
2026-08-10,2026-09-16,2026-09-02,DIR-SPX-CallVIXdrop,T00686,CLOSED_AT_MAE,INFO,MECHANICS,S,mae_date == close_date (2026-09-02 13:18),close should not coincide with the worst mark,"the exit fired at the worst point of the position's life — expected for a stop, a finding for anything else",the Trades list: which mechanic generated the closing order
2026-08-10,2026-09-16,2026-09-08,GF-QQQ-IC-SL100,T00657,CLOSED_AT_MAE,INFO,MECHANICS,S,mae_date == close_date (2026-09-08 14:49),close should not coincide with the worst mark,"the exit fired at the worst point of the position's life — expected for a stop, a finding for anything else",the Trades list: which mechanic generated the closing order
2026-08-10,2026-09-16,2026-09-08,GF-QQQ-IC-SL200,T00658,CLOSED_AT_MAE,INFO,MECHANICS,S,mae_date == close_date (2026-09-08 14:49),close should not coincide with the worst mark,"the exit fired at the worst point of the position's life — expected for a stop, a finding for anything else",the Trades list: which mechanic generated the closing order
2026-08-10,2026-09-16,2026-09-09,IC-SPX-FastPT25-S2,T00651,CLOSED_AT_MAE,INFO,MECHANICS,S,mae_date == close_date (2026-09-09 11:03),close should not coincide with the worst mark,"the exit fired at the worst point of the position's life — expected for a stop, a finding for anything else",the Trades list: which mechanic generated the closing order
2026-08-10,2026-09-16,2026-09-16,DIR-SPX-CallVIXdrop,T00610,CLOSED_AT_MAE,INFO,MECHANICS,S,mae_date == close_date (2026-09-16 14:36),close should not coincide with the worst mark,"the exit fired at the worst point of the position's life — expected for a stop, a finding for anything else",the Trades list: which mechanic generated the closing order
2026-08-10,2026-09-16,2026-09-16,GF-QQQ-IC-SL100,T00607,CLOSED_AT_MAE,INFO,MECHANICS,S,mae_date == close_date (2026-09-16 15:11),close should not coincide with the worst mark,"the exit fired at the worst point of the position's life — expected for a stop, a finding for anything else",the Trades list: which mechanic generated the closing order
2026-08-10,2026-09-16,2026-09-16,GF-QQQ-IC-SL200,T00605,CLOSED_AT_MAE,INFO,MECHANICS,S,mae_date == close_date (2026-09-16 15:14),close should not coincide with the worst mark,"the exit fired at the worst point of the position's life — expected for a stop, a finding for anything else",the Trades list: which mechanic generated the closing order
2026-08-10,2026-09-16,2026-08-21,60min-ORB-10W-Paper-v1,T00774,NEVER_IN_PROFIT,INFO,FIRE,S,mfe=-0.0105,mfe > 0,"the position was never in profit for a single recorded mark — an entry-side question, not an exit-side one",entry timestamp vs the tape; the C1 regime inputs for that morning
2026-08-10,2026-09-16,2026-08-27,IC-SPX-FastPT25-S2,T00727,NEVER_IN_PROFIT,INFO,FIRE,S,mfe=+0.0000,mfe > 0,"the position was never in profit for a single recorded mark — an entry-side question, not an exit-side one",entry timestamp vs the tape; the C1 regime inputs for that morning
2026-08-10,2026-09-16,2026-08-27,IC-SPX-FastPT25-S2-130PM,T00725,NEVER_IN_PROFIT,INFO,FIRE,S,mfe=+0.0000,mfe > 0,"the position was never in profit for a single recorded mark — an entry-side question, not an exit-side one",entry timestamp vs the tape; the C1 regime inputs for that morning
2026-08-10,2026-09-16,2026-08-28,GF-QQQ-IC-SL100,T00715,NEVER_IN_PROFIT,INFO,FIRE,S,mfe=-0.1429,mfe > 0,"the position was never in profit for a single recorded mark — an entry-side question, not an exit-side one",entry timestamp vs the tape; the C1 regime inputs for that morning
2026-08-10,2026-09-16,2026-08-28,IC-SPX-FastPT25-S2,T00722,NEVER_IN_PROFIT,INFO,FIRE,S,mfe=+0.0000,mfe > 0,"the position was never in profit for a single recorded mark — an entry-side question, not an exit-side one",entry timestamp vs the tape; the C1 regime inputs for that morning
2026-08-10,2026-09-16,2026-08-31,GF-QQQ-IC-SL100,T00700,NEVER_IN_PROFIT,INFO,FIRE,S,mfe=+0.0000,mfe > 0,"the position was never in profit for a single recorded mark — an entry-side question, not an exit-side one",entry timestamp vs the tape; the C1 regime inputs for that morning
2026-08-10,2026-09-16,2026-09-09,IC-SPX-FastPT25-S2,T00651,NEVER_IN_PROFIT,INFO,FIRE,S,mfe=+0.0000,mfe > 0,"the position was never in profit for a single recorded mark — an entry-side question, not an exit-side one",entry timestamp vs the tape; the C1 regime inputs for that morning
2026-08-10,2026-09-16,2026-09-14,IC-SPX-FastPT25-S2,T00632,NEVER_IN_PROFIT,INFO,FIRE,S,mfe=+0.0000,mfe > 0,"the position was never in profit for a single recorded mark — an entry-side question, not an exit-side one",entry timestamp vs the tape; the C1 regime inputs for that morning
2026-08-10,2026-09-16,,(fleet),,BACKSTOP_CAUGHT_IT,SKIPPED,MECHANICS,C,"config file present but column(s) ['time_exit', 'event_backstop'] absent from its schema","declared-contract column(s): time_exit, event_backstop","SKIPPED BY NAME (gate A9 split (i)): the declared config's schema does not carry what this rule reads. NOT a pass, NOT a crash — structural rules still run; this rule resumes when bots_config_v2.csv carries the mechanic columns (split (ii)). The runbook's own checklist calls this interim state acceptable: the blind spot is on the page, never silent.",data/bots_config_v2.csv header vs load_config()'s declared contract
2026-08-10,2026-09-16,,3DTE $140-$350,,EXPIRY_RATIO_FLIP,SKIPPED,MECHANICS,S,n=8,n >= 20,too few positions to evaluate a flip — NOT a pass,
2026-08-10,2026-09-16,,60min-ORB-10W-Paper-v1,,EXPIRY_RATIO_FLIP,SKIPPED,MECHANICS,S,n=12,n >= 20,too few positions to evaluate a flip — NOT a pass,
2026-08-10,2026-09-16,,DIR-SPX-CallVIXdrop,,EXPIRY_RATIO_FLIP,SKIPPED,MECHANICS,S,n=8,n >= 20,too few positions to evaluate a flip — NOT a pass,
2026-08-10,2026-09-16,,Friday 14 DTE Broken Wing IB (B-70),,EXPIRY_RATIO_FLIP,SKIPPED,MECHANICS,S,n=4,n >= 20,too few positions to evaluate a flip — NOT a pass,
2026-08-10,2026-09-16,,GF-QQQ-IC-Ride-Delta,,EXPIRY_RATIO_FLIP,SKIPPED,MECHANICS,S,n=18,n >= 20,too few positions to evaluate a flip — NOT a pass,
2026-08-10,2026-09-16,,IC-SPX-Fortress-Unstopped,,EXPIRY_RATIO_FLIP,SKIPPED,MECHANICS,S,n=1,n >= 20,too few positions to evaluate a flip — NOT a pass,
2026-08-10,2026-09-16,,Nigiri-Paper-v1,,EXPIRY_RATIO_FLIP,SKIPPED,MECHANICS,S,n=14,n >= 20,too few positions to evaluate a flip — NOT a pass,
2026-08-10,2026-09-16,,QQQ-IC-0DTE-Fortress-NoPT50,,EXPIRY_RATIO_FLIP,SKIPPED,MECHANICS,S,n=4,n >= 20,too few positions to evaluate a flip — NOT a pass,
2026-08-10,2026-09-16,,Trendy-Paper-v1,,EXPIRY_RATIO_FLIP,SKIPPED,MECHANICS,S,n=5,n >= 20,too few positions to evaluate a flip — NOT a pass,
2026-08-10,2026-09-16,,(fleet),,PT_DECLARED_NOT_TAKEN,SKIPPED,MECHANICS,C,config file present but column(s) ['pt_pct'] absent from its schema,declared-contract column(s): pt_pct,"SKIPPED BY NAME (gate A9 split (i)): the declared config's schema does not carry what this rule reads. NOT a pass, NOT a crash — structural rules still run; this rule resumes when bots_config_v2.csv carries the mechanic columns (split (ii)). The runbook's own checklist calls this interim state acceptable: the blind spot is on the page, never silent.",data/bots_config_v2.csv header vs load_config()'s declared contract
2026-08-10,2026-09-16,,(fleet),,PT_NEVER_FIRES,SKIPPED,MECHANICS,C,config file present but column(s) ['pt_pct'] absent from its schema,declared-contract column(s): pt_pct,"SKIPPED BY NAME (gate A9 split (i)): the declared config's schema does not carry what this rule reads. NOT a pass, NOT a crash — structural rules still run; this rule resumes when bots_config_v2.csv carries the mechanic columns (split (ii)). The runbook's own checklist calls this interim state acceptable: the blind spot is on the page, never silent.",data/bots_config_v2.csv header vs load_config()'s declared contract
2026-08-10,2026-09-16,,(fleet),,REMOVED_EXIT_FIRED,SKIPPED,MECHANICS,C,config file present but column(s) ['pt_pct'] absent from its schema,declared-contract column(s): pt_pct,"SKIPPED BY NAME (gate A9 split (i)): the declared config's schema does not carry what this rule reads. NOT a pass, NOT a crash — structural rules still run; this rule resumes when bots_config_v2.csv carries the mechanic columns (split (ii)). The runbook's own checklist calls this interim state acceptable: the blind spot is on the page, never silent.",data/bots_config_v2.csv header vs load_config()'s declared contract
2026-08-10,2026-09-16,,(fleet),,TIME_EXIT_MISSED,SKIPPED,MECHANICS,C,config file present but column(s) ['time_exit'] absent from its schema,declared-contract column(s): time_exit,"SKIPPED BY NAME (gate A9 split (i)): the declared config's schema does not carry what this rule reads. NOT a pass, NOT a crash — structural rules still run; this rule resumes when bots_config_v2.csv carries the mechanic columns (split (ii)). The runbook's own checklist calls this interim state acceptable: the blind spot is on the page, never silent.",data/bots_config_v2.csv header vs load_config()'s declared contract
