bot,pillar,role,underlying,status,champion,epoch_boundary,hedge,strike_fix,superseded,focus,notes,ops_class
DIR-SPX-CallVIXdrop,Directional,experiment,SPX,ON,,2026-06-25,SL50,,,yes,"Directional CALL paper bot (created 2026-06-25). Long CALL debit spread $15-wide, VIX Change% <= -2 (since prev close), NO PT (ride to settlement)/SL50, 11:00, 1ct. Backtest +21.9% RoR/PF 1.63, +$42,122; OOS IS +24.8%/OOS +19.1%, positive every year 2021-26. The put's REGIME COMPLEMENT (call=low-vol melt-ups/2023-25-heavy vs put=high-vol selloffs/2022-heavy). Config-verified vs locked spec: gate in Passes-market-conditions node, exits SL50-only/100%-bid-ask $.03-from-mid, no Market. ⚠️ Alloc set $50k (put pair are $10k — harmless for a 1-ct bot; align if comparability wanted). ⚠️ Confirm AUTOMATIONS toggled ON (was OFF at creation). OOS-passed but paper-only until forward mechanics confirmed.",
GF-QQQ-IC-Ride,IC,control,QQQ,ON,,2026-08-10,,,,,"Greenfield matched family, PR-14 (greenfield-family-spec.md §5). control arm: time exit only, no other mechanic. Registered first-hand /bots?on=1, 2026-08-11 21:34 ET.",
GF-QQQ-IC-PT50,IC,experiment,QQQ,ON,,2026-08-10,,,,,"Greenfield matched family, PR-15 (greenfield-family-spec.md §5). arm mechanic: Profit Taking % 50 (profits=0.5). Registered first-hand /bots?on=1, 2026-08-11 21:34 ET.",
GF-QQQ-IC-Trail,IC,experiment,QQQ,ON,,2026-08-10,,,,,"Greenfield matched family, PR-16 (greenfield-family-spec.md §5). arm mechanic: Trailing Stop (tstop). Registered first-hand /bots?on=1, 2026-08-11 21:34 ET.",
GF-QQQ-IC-Touch0,IC,experiment,QQQ,ON,,2026-08-10,,,,,"Greenfield matched family, PR-17 (greenfield-family-spec.md §5). arm mechanic: Touch $0. Registered first-hand /bots?on=1, 2026-08-11 21:34 ET.",
GF-QQQ-IC-SL100,IC,experiment,QQQ,ON,,2026-08-10,,,,,"Greenfield matched family, PR-18 (greenfield-family-spec.md §5). hedge arm: Stop Loss 100 (stoploss=100). Registered first-hand /bots?on=1, 2026-08-11 21:34 ET.",
GF-QQQ-IC-SL200,IC,experiment,QQQ,ON,,2026-08-10,,,,,"Greenfield matched family, PR-19 (greenfield-family-spec.md §5). hedge arm: Stop Loss 200 (stoploss=200). Registered first-hand /bots?on=1, 2026-08-11 21:34 ET.",
GF-QQQ-IC-Canary,IC,instrument,QQQ,ON,,2026-08-10,,,,,"Greenfield matched family, PR-20 (greenfield-family-spec.md §5). sentinel: Profit Taking % 5 (profits=0.05). Registered first-hand /bots?on=1, 2026-08-11 21:34 ET.",
GF-QQQ-IC-Ride-Delta,IC,experiment,QQQ,OFF,,2026-08-10,,,,,"Greenfield matched family, PR-23 (greenfield-family-spec.md §5). arm variable: short-strike selection by delta (0.10/-0.10) vs fixed percent. Ruled 2026-08-12 as the 8th greenfield arm. Registered first-hand /bots?on=1, 2026-08-11 21:34 ET. ARCHIVED 2026-08-31 (Andy-authorized): bot-local Ride-Delta-Scan-Put/-Call set OFF and bot-level AUTOMATIONS ON->OFF (a5.bots.bot.scanning === false), re-read after hard reload; all 5 automation config hashes byte-identical before/after, shared GF ScannerA/ScannerB untouched. EXIT OPTIONS left ON (disableExits === 0) - inert, no open positions - flagged for Andy. PR-23 hypothesis MOOTED by R-2026-08-17-GF-ENTRY-METHOD (family-wide delta adoption removed the fixed-strike comparator); pre-fix sample EXCLUDED (four-scanner race produced one-sided trades). Not killed on P/L. Evidence data/captures/2026-08-31-roster/12-ride-delta-postedit-2026-08-31.txt sha256 bfcbb5f156465985...; edit record 10-authorized-edits-2026-08-31.md sha256 827ba19e235d4d02...",
IC-SPX-FastPT25-S2-ARCHIVED-2026-08-07,IC,experiment,SPX,OFF,,,,,,,"Archived pre-cutover original, retained OFF so a straddler cannot land unclassified. Never a reporting input. Observed first-hand /bots?on=1, 2026-08-11 21:34 ET.",
IC-SPX-FastPT25-S2-130PM-ARCHIVED-2026-08-08,IC,experiment,SPX,OFF,,,,,,,"Archived pre-cutover original, retained OFF so a straddler cannot land unclassified. Never a reporting input. Observed first-hand /bots?on=1, 2026-08-11 21:34 ET.",
QQQ-IC-0DTE-Fortress-NoPT50-ARCHIVED-2026-08-08,IC,experiment,QQQ,OFF,,,,,,,"Archived pre-cutover original, retained OFF so a straddler cannot land unclassified. Never a reporting input. Observed first-hand /bots?on=1, 2026-08-11 21:34 ET.",
