date,bot,trade_id,structure,pnl,risk,R,exit_declared,exit_fired,hedge_declared,hedge_fired,cause_class,cause_confidence,pnl_if_worked,R_if_worked,best_alt_mechanic,pnl_best_alt,R_best_alt,preempts_winner,evidence_gap
2026-03-26,QQQ-IC-0DTE-HedgeD-Conditional,T00870,shortputspread,-2322,4887,-0.4751,PT50,N/A,Conditional (documented: $1 past strike SUSTAINED 10min),FIRED,settings,CONFIRMED,-2322,-0.4751,ride,-4887,-1.0000,no,none - monitor tree + Exit Options supplied
2026-03-30,QQQ-IC-0DTE-HedgeD-Conditional,T00856,shortputspread,-2128,4928,-0.4318,PT50,N/A,Conditional (documented: $1 past strike SUSTAINED 10min),FIRED,settings,CONFIRMED,-2128,-0.4318,ride,-4144,-0.8409,no,none - monitor tree + Exit Options supplied
2026-03-31,QQQ-IC-0DTE-HedgeD-Conditional,T00848,shortcallspread,-2376,4887,-0.4862,PT50,N/A,Conditional (documented: $1 past strike SUSTAINED 10min),FIRED,settings,CONFIRMED,-2376,-0.4862,ride,-4887,-1.0000,no,none - monitor tree + Exit Options supplied
2026-04-07,QQQ-IC-0DTE-HedgeD-Conditional,T00808,shortcallspread,-2184,4844,-0.4509,PT50,N/A,Conditional (documented: $1 past strike SUSTAINED 10min),FIRED,settings,CONFIRMED,-2184,-0.4509,ride,-4844,-1.0000,no,none - monitor tree + Exit Options supplied
2026-04-09,QQQ-IC-0DTE-HedgeD-Conditional,T00780,shortcallspread,-2425,4825,-0.5026,PT50,N/A,Conditional (documented: $1 past strike SUSTAINED 10min),FIRED,settings,CONFIRMED,-2425,-0.5026,ride,-2800,-0.5803,no,none - monitor tree + Exit Options supplied
2026-04-23,QQQ-IC-0DTE-HedgeD-Conditional,T00636,shortputspread,-2236,4914,-0.4550,PT50,NOT FIRED,Conditional (documented: $1 past strike SUSTAINED 10min),FIRED,settings,CONFIRMED,-2236,-0.4550,ride,286,0.0582,no,none - monitor tree + Exit Options supplied
2026-05-04,QQQ-IC-0DTE-HedgeD-Conditional,T00498,shortputspread,-2080,4914,-0.4233,PT50,N/A,Conditional (documented: $1 past strike SUSTAINED 10min),FIRED,settings,CONFIRMED,-2080,-0.4233,ride,286,0.0582,no,none - monitor tree + Exit Options supplied
2026-05-07,QQQ-IC-0DTE-HedgeD-Conditional,T00440,shortputspread,-2132,4966,-0.4293,PT50,N/A,Conditional (documented: $1 past strike SUSTAINED 10min),FIRED,settings,CONFIRMED,-2132,-0.4293,ride,78,0.0157,no,none - monitor tree + Exit Options supplied
2026-05-08,QQQ-IC-0DTE-HedgeD-Conditional,T00418,shortcallspread,-250,4825,-0.0518,PT50,N/A,Conditional (documented: $1 past strike SUSTAINED 10min),NOT FIRED,by_design,CONFIRMED,-250,-0.0518,ride,-400,-0.0829,no,none - Expiration 10-min-before exit confirmed
2026-05-12,QQQ-IC-0DTE-HedgeD-Conditional,T00383,shortputspread,-2133,4887,-0.4365,PT50,N/A,Conditional (documented: $1 past strike SUSTAINED 10min),FIRED,settings,CONFIRMED,-2133,-0.4365,ride,513,0.1050,no,none - monitor tree + Exit Options supplied
2026-05-13,QQQ-IC-0DTE-HedgeD-Conditional,T00363,shortcallspread,-891,4968,-0.1793,PT50,N/A,Conditional (documented: $1 past strike SUSTAINED 10min),NOT FIRED,by_design,CONFIRMED,-891,-0.1793,ride,432,0.0870,no,none - Expiration 10-min-before exit confirmed
2026-05-18,QQQ-IC-0DTE-HedgeD-Conditional,T00297,shortputspread,-2240,4872,-0.4598,PT50,N/A,Conditional (documented: $1 past strike SUSTAINED 10min),FIRED,settings,CONFIRMED,-2240,-0.4598,ride,728,0.1494,no,none - monitor tree + Exit Options supplied
2026-05-19,QQQ-IC-0DTE-HedgeD-Conditional,T00273,shortcallspread,-2349,4860,-0.4833,PT50,N/A,Conditional (documented: $1 past strike SUSTAINED 10min),FIRED,settings,CONFIRMED,-2349,-0.4833,ride,540,0.1111,no,none - monitor tree + Exit Options supplied
2026-05-20,QQQ-IC-0DTE-HedgeD-Conditional,T00240,shortcallspread,-551,4872,-0.1131,PT50,N/A,Conditional (documented: $1 past strike SUSTAINED 10min),NOT FIRED,by_design,CONFIRMED,-551,-0.1131,ride,928,0.1905,no,none - Expiration 10-min-before exit confirmed
2026-03-30,QQQ-IC-0DTE-Range075-PT50-Wide2-1230PM,T00854,shortputspread,-20,189,-0.1058,PT50,N/A,<blank in config; none observed>,N/A,by_design,INFERRED,-20,-0.1058,ride,11,0.0582,no (bot-level: ride also changes the 21 PT50 winners),confirm the 15:50 flat exit is a configured rule (absent from bots_config)
2026-04-07,QQQ-IC-0DTE-Range075-PT50-Wide2-1230PM,T00799,shortcallspread,-5,182,-0.0275,PT50,NOT FIRED,<blank in config; none observed>,N/A,settings,INFERRED,9,0.0495,ride,18,0.0989,no (bot-level: ride also changes the 21 PT50 winners),Exit Options panel of the CALL-side Open Position action (Scan-Call)
2026-04-23,QQQ-IC-0DTE-Range075-PT50-Wide2-1230PM,T00625,shortputspread,-63,193,-0.3264,PT50,N/A,<blank in config; none observed>,N/A,by_design,INFERRED,-63,-0.3264,ride,7,0.0363,no (bot-level: ride also changes the 21 PT50 winners),confirm the 15:50 flat exit is a configured rule (absent from bots_config)
2026-04-29,QQQ-IC-0DTE-Range075-PT50-Wide2-1230PM,T00560,shortcallspread,-10,158,-0.0633,PT50,N/A,<blank in config; none observed>,N/A,by_design,INFERRED,-10,-0.0633,ride,42,0.2658,no (bot-level: ride also changes the 21 PT50 winners),confirm the 15:50 flat exit is a configured rule (absent from bots_config)
2026-04-30,QQQ-IC-0DTE-Range075-PT50-Wide2-1230PM,T00534,shortcallspread,-35,193,-0.1813,PT50,NOT FIRED,<blank in config; none observed>,N/A,settings,INFERRED,4,0.0181,ride,7,0.0363,no (bot-level: ride also changes the 21 PT50 winners),Exit Options panel of the CALL-side Open Position action (Scan-Call)
2026-05-21,QQQ-IC-0DTE-Range075-PT50-Wide2-1230PM,T00217,shortcallspread,-9,192,-0.0469,PT50,N/A,<blank in config; none observed>,N/A,by_design,INFERRED,-9,-0.0469,ride,8,0.0417,no (bot-level: ride also changes the 21 PT50 winners),confirm the 15:50 flat exit is a configured rule (absent from bots_config)
