Opened,Closed,Symbol,Exp,Type,Legs,Quantity,Status,P/L,Risk,ROR,Premium,Reward/Risk,Open Price,Open Bid Price,Open Ask Price,Close Price,Close Bid Price,Close Ask Price,Max Loss,Max Profit,Price at Open,Price at Close
"Oct 16, 2024 9:45am","Oct 16, 2024 10:04am","SPX","Oct 16, 2024","longcall","long call 5,780","1","profits","415","3265","12.71","3265","NaN","32.65","32.4","32.9","36.8","36.5","37.1","3265","","5809.79","5814.9"
"Oct 17, 2024 9:45am","Oct 17, 2024 4:00pm","SPX","Oct 17, 2024","longcall","long call 5,835","1","expired","-2408","3055","-78.82","3055","NaN","30.55","30.2","30.9","6.47","","","3055","","5862.71","5841.47"
"Oct 18, 2024 9:45am","Oct 18, 2024 11:32am","SPX","Oct 18, 2024","longcall","long call 5,830","1","profits","310","3000","10.33","3000","NaN","30","29.7","30.3","33.1","32.7","33.5","3000","","5857.62","5862.52"
"Oct 21, 2024 9:45am","Oct 21, 2024 9:54am","SPX","Oct 21, 2024","longcall","long call 5,835","1","profits","275","2650","10.38","2650","NaN","26.5","26.3","26.7","29.25","29","29.5","2650","","5858.96","5863.27"
"Oct 22, 2024 9:45am","Oct 22, 2024 9:55am","SPX","Oct 22, 2024","longcall","long call 5,800","1","profits","320","3080","10.39","3080","NaN","30.8","30.6","31","34","33.8","34.2","3080","","5827.81","5831.82"
"Oct 23, 2024 9:45am","Oct 23, 2024 9:47am","SPX","Oct 23, 2024","longcall","long call 5,805","1","profits","280","2800","10","2800","NaN","28","27.8","28.2","30.8","30.6","31","2800","","5830.13","5833.32"
"Oct 24, 2024 9:45am","Oct 24, 2024 10:03am","SPX","Oct 24, 2024","longcall","long call 5,780","1","profits","525","3300","15.91","3300","NaN","33","32.6","33.4","38.25","37.9","38.6","3300","","5808.92","5816.03"
"Oct 25, 2024 9:45am","Oct 25, 2024 9:47am","SPX","Oct 25, 2024","longcall","long call 5,820","1","profits","440","2745","16.03","2745","NaN","27.45","27.3","27.6","31.85","31.5","32.2","2745","","5844.45","5849.7"
"Oct 28, 2024 9:45am","Oct 28, 2024 10:27am","SPX","Oct 28, 2024","longcall","long call 5,805","1","profits","530","3330","15.92","3330","NaN","33.3","33.1","33.5","38.6","38.3","38.9","3330","","5834.52","5841.15"
"Oct 29, 2024 9:45am","Oct 29, 2024 9:55am","SPX","Oct 29, 2024","longcall","long call 5,780","1","profits","345","3440","10.03","3440","NaN","34.4","34.1","34.7","37.85","37.6","38.1","3440","","5811.26","5815.48"
"Oct 30, 2024 9:45am","Oct 30, 2024 9:47am","SPX","Oct 30, 2024","longcall","long call 5,780","1","profits","495","3920","12.63","3920","NaN","39.2","38.9","39.5","44.15","43.9","44.4","3920","","5815.69","5820.71"
"Oct 31, 2024 9:45am","Oct 31, 2024 4:00pm","SPX","Oct 31, 2024","longcall","long call 5,735","1","expired","-3665","3665","-100","3665","NaN","36.65","35.8","37.5","0","","","3665","","5767.54","5705.45"
"Nov 1, 2024 9:45am","Nov 1, 2024 10:08am","SPX","Nov 1, 2024","longcall","long call 5,710","1","profits","785","3940","19.92","3940","NaN","39.4","39","39.8","47.25","47","47.5","3940","","5745.72","5755.82"
"Nov 4, 2024 9:45am","Nov 4, 2024 10:02am","SPX","Nov 4, 2024","longcall","long call 5,685","1","profits","475","4580","10.37","4580","NaN","45.8","45.6","46","50.55","49.8","51.3","4580","","5726.5","5732.05"
"Nov 5, 2024 9:45am","Nov 5, 2024 9:52am","SPX","Nov 5, 2024","longcall","long call 5,695","1","profits","565","4770","11.84","4770","NaN","47.7","47.4","48","53.35","53.1","53.6","4770","","5738.17","5745.6"
"Nov 7, 2024 9:45am","Nov 7, 2024 9:53am","SPX","Nov 7, 2024","longcall","long call 5,915","1","profits","495","4010","12.34","4010","NaN","40.1","39.9","40.3","45.05","44.8","45.3","4010","","5950.46","5956.31"
"Nov 8, 2024 9:45am","Nov 8, 2024 9:48am","SPX","Nov 8, 2024","longcall","long call 5,950","1","profits","405","3355","12.07","3355","NaN","33.55","33.3","33.8","37.6","36.9","38.3","3355","","5980.05","5984.76"
"Nov 11, 2024 9:45am","Nov 11, 2024 4:00pm","SPX","Nov 11, 2024","longcall","long call 5,980","1","expired","-1160","3295","-35.2","3295","NaN","32.95","32.6","33.3","21.35","","","3295","","6009.25","6001.35"
"Nov 12, 2024 9:45am","Nov 12, 2024 4:00pm","SPX","Nov 12, 2024","longcall","long call 5,985","1","expired","-2510","2510","-100","2510","NaN","25.1","24.9","25.3","0","","","2510","","6007.37","5983.99"
"Nov 13, 2024 9:45am","Nov 13, 2024 12:07pm","SPX","Nov 13, 2024","longcall","long call 5,965","1","profits","405","3090","13.11","3090","NaN","30.9","30.7","31.1","34.95","34.6","35.3","3090","","5993.22","5998.5"
"Nov 14, 2024 9:45am","Nov 14, 2024 9:50am","SPX","Nov 14, 2024","longcall","long call 5,945","1","profits","455","3315","13.73","3315","NaN","33.15","32.9","33.4","37.7","37.4","38","3315","","5974.49","5979.02"
"Nov 15, 2024 9:45am","Nov 15, 2024 9:50am","SPX","Nov 15, 2024","longcall","long call 5,870","1","profits","615","4005","15.36","4005","NaN","40.05","39.8","40.3","46.2","45.9","46.5","4005","","5905.65","5913.65"
"Nov 18, 2024 9:45am","Nov 18, 2024 10:05am","SPX","Nov 18, 2024","longcall","long call 5,845","1","profits","480","3300","14.55","3300","NaN","33","32.8","33.2","37.8","37.5","38.1","3300","","5873.98","5880.25"
"Nov 19, 2024 9:45am","Nov 19, 2024 10:30am","SPX","Nov 19, 2024","longcall","long call 5,840","1","profits","495","3500","14.14","3500","NaN","35","34.8","35.2","39.95","39.6","40.3","3500","","5870.93","5877.43"
"Nov 20, 2024 9:45am","Nov 20, 2024 3:32pm","SPX","Nov 20, 2024","longcall","long call 5,860","1","profits","410","3970","10.33","3970","NaN","39.7","38.8","40.6","43.8","43.2","44.4","3970","","5896.49","5903.45"
"Nov 22, 2024 9:45am","Nov 22, 2024 4:00pm","SPX","Nov 22, 2024","longcall","long call 5,930","1","expired","-251","4185","-6","4185","NaN","41.85","41.6","42.1","39.34","","","4185","","5967.32","5969.34"
"Nov 25, 2024 9:45am","Nov 25, 2024 4:00pm","SPX","Nov 25, 2024","longcall","long call 5,995","1","expired","-2550","2550","-100","2550","NaN","25.5","25.3","25.7","0","","","2550","","6017.77","5987.37"
"Nov 26, 2024 9:45am","Nov 26, 2024 9:50am","SPX","Nov 26, 2024","longcall","long call 5,970","1","profits","445","3270","13.61","3270","NaN","32.7","32.5","32.9","37.15","36.9","37.4","3270","","5999.75","6004.87"
"Nov 27, 2024 9:45am","Nov 27, 2024 4:00pm","SPX","Nov 27, 2024","longcall","long call 5,990","1","expired","-2116","2990","-70.77","2990","NaN","29.9","29.7","30.1","8.74","","","2990","","6016.98","5998.74"
"Dec 2, 2024 9:45am","Dec 2, 2024 10:33am","SPX","Dec 2, 2024","longcall","long call 6,020","2","profits","590","4540","13","4540","NaN","22.7","21.2","24.2","25.65","25.4","25.9","2270","","6039.56","6044.61"
"Dec 3, 2024 9:45am","Dec 3, 2024 9:47am","SPX","Dec 3, 2024","longcall","long call 6,015","1","profits","275","2700","10.19","2700","NaN","27","26.8","27.2","29.75","29.6","29.9","2700","","6039.27","6042.4"
"Dec 4, 2024 9:45am","Dec 4, 2024 9:51am","SPX","Dec 4, 2024","longcall","long call 6,045","2","profits","510","4970","10.26","4970","NaN","24.85","24.6","25.1","27.4","27.2","27.6","2485","","6067.34","6070.3"
"Dec 5, 2024 9:45am","Dec 5, 2024 10:02am","SPX","Dec 5, 2024","longcall","long call 6,070","2","profits","620","3790","16.36","3790","NaN","18.95","18.8","19.1","22.05","21.8","22.3","1895","","6086.62","6090.82"
"Dec 6, 2024 9:45am","Dec 6, 2024 9:48am","SPX","Dec 6, 2024","longcall","long call 6,070","2","profits","1050","4850","21.65","4850","NaN","24.25","24.1","24.4","29.5","29.3","29.7","2425","","6091.78","6097.39"
"Dec 9, 2024 9:45am","Dec 9, 2024 4:00pm","SPX","Dec 9, 2024","longcall","long call 6,065","2","expired","-3770","3770","-100","3770","NaN","18.85","18.7","19","0","","","1885","","6081.58","6052.85"
"Dec 10, 2024 9:45am","Dec 10, 2024 9:47am","SPX","Dec 10, 2024","longcall","long call 6,040","2","profits","450","3980","11.31","3980","NaN","19.9","19.7","20.1","22.15","22","22.3","1990","","6057.75","6060.45"
"Dec 11, 2024 9:45am","Dec 11, 2024 9:46am","SPX","Dec 11, 2024","longcall","long call 6,050","2","profits","460","4260","10.8","4260","NaN","21.3","21.1","21.5","23.6","23.4","23.8","2130","","6069.64","6072.29"
"Dec 12, 2024 9:45am","Dec 12, 2024 10:33am","SPX","Dec 12, 2024","longcall","long call 6,055","2","profits","590","3930","15.01","3930","NaN","19.65","19.5","19.8","22.6","22.4","22.8","1965","","6072.68","6075.83"
"Dec 13, 2024 9:45am","Dec 13, 2024 9:47am","SPX","Dec 13, 2024","longcall","long call 6,060","2","profits","390","3740","10.43","3740","NaN","18.7","18.6","18.8","20.65","20.5","20.8","1870","","6076.08","6077.76"
"Dec 16, 2024 9:45am","Dec 16, 2024 9:51am","SPX","Dec 16, 2024","longcall","long call 6,045","2","profits","610","4280","14.25","4280","NaN","21.4","21","21.8","24.45","24.3","24.6","2140","","6063.79","6067.57"
"Dec 17, 2024 9:45am","Dec 17, 2024 9:57am","SPX","Dec 17, 2024","longcall","long call 6,030","2","profits","490","4870","10.06","4870","NaN","24.35","24.2","24.5","26.8","26.6","27","2435","","6052.01","6054.37"
"Dec 18, 2024 9:45am","Dec 18, 2024 9:54am","SPX","Dec 18, 2024","longcall","long call 6,015","1","profits","360","3585","10.04","3585","NaN","35.85","35.7","36","39.45","39.3","39.6","3585","","6046.18","6050.35"
"Dec 23, 2024 9:45am","Dec 23, 2024 11:42am","SPX","Dec 23, 2024","longcall","long call 5,895","1","profits","415","4140","10.02","4140","NaN","41.4","41.2","41.6","45.55","45.3","45.8","4140","","5932.22","5938.65"
"Dec 26, 2024 9:45am","Dec 26, 2024 10:31am","SPX","Dec 26, 2024","longcall","long call 5,995","1","profits","335","3220","10.4","3220","NaN","32.2","32","32.4","35.55","35.3","35.8","3220","","6024.87","6029.29"
"Dec 27, 2024 9:45am","Dec 27, 2024 9:48am","SPX","Dec 27, 2024","longcall","long call 5,950","1","profits","820","4320","18.98","4320","NaN","43.2","43","43.4","51.4","51.1","51.7","4320","","5988.93","5998.85"
"Jan 2, 2025 9:45am","Jan 2, 2025 9:48am","SPX","Jan 2, 2025","longcall","long call 5,850","1","profits","570","4970","11.47","4970","NaN","49.7","48.4","51","55.4","55.2","55.6","4970","","5895.5","5901.63"
"Jan 3, 2025 9:45am","Jan 3, 2025 11:33am","SPX","Jan 3, 2025","longcall","long call 5,875","1","profits","505","4620","10.93","4620","NaN","46.2","46","46.4","51.25","50.9","51.6","4620","","5916.26","5924.25"
"Jan 6, 2025 9:45am","Jan 6, 2025 9:46am","SPX","Jan 6, 2025","longcall","long call 5,965","1","profits","415","3445","12.05","3445","NaN","34.45","34","34.9","38.6","38.3","38.9","3445","","5996.4","6001.18"
"Jan 7, 2025 9:45am","Jan 7, 2025 4:00pm","SPX","Jan 7, 2025","longcall","long call 5,960","1","expired","-3635","3635","-100","3635","NaN","36.35","36.2","36.5","0","","","3635","","5993.3","5909.03"
"Jan 14, 2025 9:45am","Jan 14, 2025 4:00pm","SPX","Jan 14, 2025","longcall","long call 5,830","1","expired","-3174","4465","-71.09","4465","NaN","44.65","44.4","44.9","12.91","","","4465","","5869.68","5842.91"
"Jan 16, 2025 9:45am","Jan 16, 2025 11:08am","SPX","Jan 16, 2025","longcall","long call 5,915","1","profits","525","4225","12.43","4225","NaN","42.25","42","42.5","47.5","47.3","47.7","4225","","5953.08","5961.52"
"Jan 17, 2025 9:45am","Jan 17, 2025 9:46am","SPX","Jan 17, 2025","longcall","long call 5,945","1","profits","470","4145","11.34","4145","NaN","41.45","41.2","41.7","46.15","45.9","46.4","4145","","5982.2","5987.75"
"Jan 21, 2025 9:45am","Jan 21, 2025 9:48am","SPX","Jan 21, 2025","longcall","long call 5,985","1","profits","765","4185","18.28","4185","NaN","41.85","41.6","42.1","49.5","49.3","49.7","4185","","6022.09","6033.24"
"Jan 22, 2025 9:45am","Jan 22, 2025 9:55am","SPX","Jan 22, 2025","longcall","long call 6,055","1","profits","445","2725","16.33","2725","NaN","27.25","27.1","27.4","31.7","31.5","31.9","2725","","6079.43","6085.35"
"Jan 23, 2025 9:45am","Jan 23, 2025 10:46am","SPX","Jan 23, 2025","longcall","long call 6,060","1","profits","280","2620","10.69","2620","NaN","26.2","26","26.4","29","28.8","29.2","2620","","6083.14","6088.25"
"Jan 24, 2025 9:45am","Jan 24, 2025 4:00pm","SPX","Jan 24, 2025","longcall","long call 6,095","1","expired","-2451","3075","-79.71","3075","NaN","30.75","30.5","31","6.24","","","3075","","6123.12","6101.24"
"Jan 28, 2025 9:45am","Jan 28, 2025 10:01am","SPX","Jan 28, 2025","longcall","long call 5,960","1","profits","625","4875","12.82","4875","NaN","48.75","48.5","49","55","54.8","55.2","4875","","6004.39","6013.34"
"Jan 29, 2025 9:45am","Jan 29, 2025 9:53am","SPX","Jan 29, 2025","longcall","long call 6,005","1","profits","520","4720","11.02","4720","NaN","47.2","46.9","47.5","52.4","52.2","52.6","4720","","6047.9","6054.52"
"Jan 30, 2025 9:45am","Jan 30, 2025 9:48am","SPX","Jan 30, 2025","longcall","long call 6,030","1","profits","570","3840","14.84","3840","NaN","38.4","38.2","38.6","44.1","43.9","44.3","3840","","6064.92","6071.73"
"Jan 31, 2025 9:45am","Jan 31, 2025 10:02am","SPX","Jan 31, 2025","longcall","long call 6,060","1","profits","555","4150","13.37","4150","NaN","41.5","41.3","41.7","47.05","46.8","47.3","4150","","6098.48","6104.49"
"Feb 4, 2025 9:45am","Feb 4, 2025 9:55am","SPX","Feb 4, 2025","longcall","long call 5,960","1","profits","555","4665","11.9","4665","NaN","46.65","46.5","46.8","52.2","52","52.4","4665","","6001.5","6008.89"
"Feb 5, 2025 9:45am","Feb 5, 2025 11:39am","SPX","Feb 5, 2025","longcall","long call 5,995","1","profits","410","3800","10.79","3800","NaN","38","37.6","38.4","42.1","41.8","42.4","3800","","6028.84","6036.07"
"Feb 6, 2025 9:45am","Feb 6, 2025 3:56pm","SPX","Feb 6, 2025","longcall","long call 6,045","1","profits","420","3415","12.3","3415","NaN","34.15","34","34.3","38.35","37.9","38.8","3415","","6075.96","6082.7"
"Feb 7, 2025 9:45am","Feb 7, 2025 9:54am","SPX","Feb 7, 2025","longcall","long call 6,060","1","profits","475","3825","12.42","3825","NaN","38.25","37.9","38.6","43","42.7","43.3","3825","","6094.25","6101.28"
"Feb 10, 2025 9:45am","Feb 10, 2025 10:02am","SPX","Feb 10, 2025","longcall","long call 6,015","1","profits","565","3860","14.64","3860","NaN","38.6","38.4","38.8","44.25","44","44.5","3860","","6049.32","6057.61"
"Feb 11, 2025 9:45am","Feb 11, 2025 10:30am","SPX","Feb 11, 2025","longcall","long call 6,020","1","profits","475","3685","12.89","3685","NaN","36.85","36.7","37","41.6","41.4","41.8","3685","","6053.16","6059.84"
"Feb 12, 2025 9:45am","Feb 12, 2025 9:50am","SPX","Feb 12, 2025","longcall","long call 5,990","1","profits","455","3855","11.8","3855","NaN","38.55","38.4","38.7","43.1","42.9","43.3","3855","","6024.35","6029.59"
"Feb 13, 2025 9:45am","Feb 13, 2025 10:01am","SPX","Feb 13, 2025","longcall","long call 6,030","1","profits","375","3690","10.16","3690","NaN","36.9","36.8","37","40.65","40.5","40.8","3690","","6063.3","6068.54"
"Feb 14, 2025 9:45am","Feb 14, 2025 10:10am","SPX","Feb 14, 2025","longcall","long call 6,090","1","profits","380","3430","11.08","3430","NaN","34.3","34.1","34.5","38.1","37.9","38.3","3430","","6120.82","6126.48"
"Feb 18, 2025 9:45am","Feb 18, 2025 3:59pm","SPX","Feb 18, 2025","longcall","long call 6,090","1","profits","505","3105","16.26","3105","NaN","31.05","30.9","31.2","36.1","35.3","36.9","3105","","6117.11","6126.58"
"Feb 19, 2025 9:45am","Feb 19, 2025 10:32am","SPX","Feb 19, 2025","longcall","long call 6,085","1","profits","345","3320","10.39","3320","NaN","33.2","33","33.4","36.65","36.3","37","3320","","6115.33","6121.55"
"Feb 20, 2025 9:45am","Feb 20, 2025 4:00pm","SPX","Feb 20, 2025","longcall","long call 6,095","1","expired","-653","2905","-22.48","2905","NaN","29.05","28.8","29.3","22.52","","","2905","","6120.57","6117.52"
"Feb 21, 2025 9:45am","Feb 21, 2025 4:00pm","SPX","Feb 21, 2025","longcall","long call 6,070","1","expired","-4015","4015","-100","4015","NaN","40.15","39","41.3","0","","","4015","","6106.22","6013.13"
"Feb 24, 2025 9:45am","Feb 24, 2025 4:00pm","SPX","Feb 24, 2025","longcall","long call 5,980","1","expired","-4520","4845","-93.29","4845","NaN","48.45","48.2","48.7","3.25","","","4845","","6023.71","5983.25"
"Feb 26, 2025 9:45am","Feb 26, 2025 9:49am","SPX","Feb 26, 2025","longcall","long call 5,930","1","profits","660","4725","13.97","4725","NaN","47.25","47","47.5","53.85","53.6","54.1","4725","","5972.75","5981.6"
"Mar 24, 2025 9:45am","Mar 24, 2025 9:47am","SPX","Mar 24, 2025","longcall","long call 5,715","1","profits","410","3270","12.54","3270","NaN","32.7","29.4","36","36.8","36.6","37","3270","","5743.59","5747.92"
"Mar 25, 2025 9:45am","Mar 25, 2025 10:22am","SPX","Mar 25, 2025","longcall","long call 5,735","1","profits","490","3935","12.45","3935","NaN","39.35","39.1","39.6","44.25","44","44.5","3935","","5770.92","5778.26"
"Mar 26, 2025 9:45am","Mar 26, 2025 4:00pm","SPX","Mar 26, 2025","longcall","long call 5,745","1","expired","-3875","3875","-100","3875","NaN","38.75","38.3","39.2","0","","","3875","","5779.12","5712.2"
"Mar 28, 2025 9:45am","Mar 28, 2025 4:00pm","SPX","Mar 28, 2025","longcall","long call 5,630","1","expired","-4920","4920","-100","4920","NaN","49.2","49","49.4","0","","","4920","","5673.05","5580.94"
"Apr 28, 2025 9:45am","Apr 28, 2025 4:00pm","SPX","Apr 28, 2025","longcall","long call 5,505","1","expired","-2620","4995","-52.45","4995","NaN","49.95","49.7","50.2","23.75","","","4995","","5549.85","5528.75"
"May 6, 2025 9:45am","May 6, 2025 10:20am","SPX","May 6, 2025","longcall","long call 5,570","1","profits","465","4455","10.44","4455","NaN","44.55","44.3","44.8","49.2","49","49.4","4455","","5609.41","5616.46"
"May 9, 2025 9:45am","May 9, 2025 9:59am","SPX","May 9, 2025","longcall","long call 5,640","1","profits","630","4355","14.47","4355","NaN","43.55","43.3","43.8","49.85","49.6","50.1","4355","","5679.19","5686.86"
"May 13, 2025 9:45am","May 13, 2025 9:57am","SPX","May 13, 2025","longcall","long call 5,825","1","profits","655","3935","16.65","3935","NaN","39.35","39.1","39.6","45.9","45.7","46.1","3935","","5860.01","5868.86"
